Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount
Kaine Padly,Canada,Choco Coated Almonds,22-05-2025,"$9,361",363,"9,361"
Madelene Upcott,UK,Caramel Stuffed Bars,22-05-2025,"$3,535",240,"3,535"
Kaine Padly,Australia,Eclairs,23-05-2025,"$7,677.78",118,"7,677.78"
Jehu Rudeforth,UK,Drinking Coco,23-05-2025,"$7,865.93",436,"7,865.93"
Marney O'Breen,New Zealand,85% Dark Bars,23-05-2025,"$1,312.23",164,"1,312.23"
Madelene Upcott,New Zealand,Fruit & Nut Bars,23-05-2025,"$2,335",155,"2,335"
Kelci Walkden,India,70% Dark Bites,23-05-2025,"$3,746",135,"3,746"
Karlen McCaffrey,USA,Milk Bars,23-05-2025,"$8,410",13,"8,410"
Dennison Crosswaite,India,Orange Choco,24-05-2025,$784.00,129,784
Wilone O'Kielt,Australia,Organic Choco Syrup,24-05-2025,"$1,896.24",115,"1,896.24"
Kaine Padly,Canada,85% Dark Bars,24-05-2025,"$8,303",110,"8,303"
Oby Sorrel,Australia,Raspberry Choco,25-05-2025,"$1,044.35",126,"1,044.35"
Gigi Bohling,New Zealand,Smooth Sliky Salty,25-05-2025,$787.38,95,787.38
Curtice Advani,India,70% Dark Bites,25-05-2025,"$2,453.44",43,"2,453.44"
Gigi Bohling,Australia,70% Dark Bites,25-05-2025,"$1,624.86",103,"1,624.86"
Marney O'Breen,New Zealand,Fruit & Nut Bars,25-05-2025,"$4,604",363,"4,604"
Karlen McCaffrey,USA,Milk Bars,26-05-2025,"$4,389.00",7,"4,389.00"
Dotty Strutley,Canada,After Nines,26-05-2025,$302.18,233,302.18
Marney O'Breen,UK,99% Dark & Pure,26-05-2025,"$8,565",29,"8,565"
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,26-05-2025,$708,184,708
Barr Faughny,Australia,White Choc,27-05-2025,"$8,113.00",370,"8,113.00"
Jehu Rudeforth,New Zealand,White Choc,27-05-2025,"$6,472",365,"6,472"
Kelci Walkden,UK,Smooth Sliky Salty,27-05-2025,"$2,374",200,"2,374"
Beverie Moffet,Canada,Orange Choco,27-05-2025,"$4,864",100,"4,864"
Madelene Upcott,UK,Peanut Butter Cubes,27-05-2025,"$8,218",134,"8,218"
Kelci Walkden,India,Milk Bars,28-05-2025,$966.00,107,966
Gigi Bohling,Canada,Drinking Coco,28-05-2025,"$3,549.00",82,"3,549.00"
Gunar Cockshoot,USA,Organic Choco Syrup,28-05-2025,"$2,494.19",315,"2,494.19"
Barr Faughny,New Zealand,Eclairs,28-05-2025,"$7,418.41",31,"7,418.41"
Jan Morforth,Canada,Mint Chip Choco,28-05-2025,"$2,654",242,"2,654"
Madelene Upcott,Canada,Peanut Butter Cubes,29-05-2025,"$1,657",116,"1,657"
Oby Sorrel,USA,Almond Choco,30-05-2025,"$7,107.55",142,"7,107.55"
Roddy Speechley,India,Caramel Stuffed Bars,30-05-2025,"$9,588.03",562,"9,588.03"
Gigi Bohling,India,Raspberry Choco,30-05-2025,"$2,843.90",158,"2,843.90"
Jan Morforth,Australia,Orange Choco,30-05-2025,$744,186,744
Jehu Rudeforth,UK,Smooth Sliky Salty,30-05-2025,"$8,854",286,"8,854"
Ches Bonnell,USA,Choco Coated Almonds,30-05-2025,"$6,288",51,"6,288"
Marney O'Breen,New Zealand,Milk Bars,31-05-2025,"$7,490.00",315,"7,490.00"
Kelci Walkden,India,Orange Choco,31-05-2025,"$9,408.00",138,"9,408.00"
Dennison Crosswaite,India,85% Dark Bars,31-05-2025,"$4,515.00",22,"4,515.00"
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,31-05-2025,"$6,426.00",98,"6,426.00"
Van Tuxwell,India,White Choc,31-05-2025,"$2,119.42",46,"2,119.42"
Oby Sorrel,New Zealand,White Choc,31-05-2025,"$2,661",308,"2,661"
Andria Kimpton,New Zealand,50% Dark Bites,31-05-2025,"$6,032",220,"6,032"
Dennison Crosswaite,USA,Milk Bars,31-05-2025,"$1,900",368,"1,900"
Wilone O'Kielt,New Zealand,Organic Choco Syrup,01-06-2025,"$2,390.70",274,"2,390.70"
Brien Boise,New Zealand,Drinking Coco,01-06-2025,"$2,774",51,"2,774"
Husein Augar,USA,85% Dark Bars,02-06-2025,$398.28,52,398.28
Dennison Crosswaite,USA,Milk Bars,02-06-2025,$890.78,62,890.78
Dennison Crosswaite,India,99% Dark & Pure,02-06-2025,"$8,328.80",327,"8,328.80"
Dennison Crosswaite,Australia,Raspberry Choco,02-06-2025,"$4,521",61,"4,521"
Roddy Speechley,India,Peanut Butter Cubes,02-06-2025,"$7,799",105,"7,799"
Brien Boise,USA,99% Dark & Pure,02-06-2025,"$3,704",212,"3,704"
Mallorie Waber,Canada,Orange Choco,02-06-2025,"$2,453",380,"2,453"
Camilla Castle,India,Drinking Coco,02-06-2025,"$3,149",251,"3,149"
Gigi Bohling,Canada,White Choc,03-06-2025,"$1,675",207,"1,675"
Oby Sorrel,UK,White Choc,03-06-2025,"$4,770",390,"4,770"
Andria Kimpton,New Zealand,Organic Choco Syrup,04-06-2025,"$9,865",378,"9,865"
Kaine Padly,USA,Milk Bars,04-06-2025,"$4,647",290,"4,647"
Kelci Walkden,Australia,White Choc,04-06-2025,"$3,820",125,"3,820"
Ches Bonnell,Australia,Peanut Butter Cubes,05-06-2025,"$11,767.94",68,"11,767.94"
Beverie Moffet,New Zealand,White Choc,05-06-2025,"$5,928",274,"5,928"
Kelci Walkden,Canada,99% Dark & Pure,05-06-2025,"$9,822",270,"9,822"
Marney O'Breen,UK,50% Dark Bites,05-06-2025,"$3,295",360,"3,295"
Dotty Strutley,UK,Caramel Stuffed Bars,05-06-2025,"$6,963",300,"6,963"
Jehu Rudeforth,USA,99% Dark & Pure,06-06-2025,"$2,815.72",222,"2,815.72"
Curtice Advani,UK,Manuka Honey Choco,06-06-2025,"$1,710.48",108,"1,710.48"
Ches Bonnell,India,50% Dark Bites,06-06-2025,"$12,083.50",334,"12,083.50"
Gunar Cockshoot,USA,Eclairs,06-06-2025,"$9,332",249,"9,332"
Rafaelita Blaksland,USA,Drinking Coco,07-06-2025,"$8,526.00",73,"8,526.00"
Beverie Moffet,USA,Peanut Butter Cubes,07-06-2025,"$13,930.00",339,"13,930.00"
Karlen McCaffrey,Australia,50% Dark Bites,07-06-2025,"$7,642.94",778,"7,642.94"
Karlen McCaffrey,India,Mint Chip Choco,07-06-2025,"$11,650.88",192,"11,650.88"
Van Tuxwell,Australia,70% Dark Bites,07-06-2025,"$2,230",224,"2,230"
Marney O'Breen,Canada,Spicy Special Slims,07-06-2025,"$8,046",362,"8,046"
Andria Kimpton,Australia,85% Dark Bars,07-06-2025,"$6,129",241,"6,129"
Barr Faughny,New Zealand,50% Dark Bites,08-06-2025,"$8,805",98,"8,805"
Camilla Castle,New Zealand,Mint Chip Choco,08-06-2025,$998,44,998
Ches Bonnell,Australia,70% Dark Bites,09-06-2025,"$3,136.00",125,"3,136.00"
Husein Augar,Australia,Manuka Honey Choco,09-06-2025,"$3,639",319,"3,639"
Madelene Upcott,UK,Choco Coated Almonds,09-06-2025,"$5,504",109,"5,504"
Barr Faughny,Canada,Baker's Choco Chips,11-06-2025,"$10,967.31",172,"10,967.31"
Beverie Moffet,India,White Choc,11-06-2025,"$1,994.44",299,"1,994.44"
Karlen McCaffrey,India,Almond Choco,11-06-2025,"$6,188.62",157,"6,188.62"
Brien Boise,Canada,Spicy Special Slims,11-06-2025,"$8,993.24",97,"8,993.24"
Ches Bonnell,UK,Mint Chip Choco,11-06-2025,"$2,984.40",214,"2,984.40"
Dennison Crosswaite,Canada,Eclairs,11-06-2025,"$4,294",378,"4,294"
Beverie Moffet,New Zealand,Mint Chip Choco,11-06-2025,"$6,626",304,"6,626"
Kaine Padly,USA,85% Dark Bars,11-06-2025,"$6,789",290,"6,789"
Marney O'Breen,India,Fruit & Nut Bars,12-06-2025,"$5,312.50",160,"5,312.50"
Kaine Padly,India,Milk Bars,12-06-2025,"$3,210.14",92,"3,210.14"
Curtice Advani,UK,Drinking Coco,12-06-2025,$460.98,182,460.98
Madelene Upcott,New Zealand,White Choc,12-06-2025,"$5,480",243,"5,480"
Van Tuxwell,India,Smooth Sliky Salty,13-06-2025,"$6,429.35",40,"6,429.35"
Curtice Advani,India,Fruit & Nut Bars,13-06-2025,"$5,693.60",177,"5,693.60"
Mallorie Waber,Canada,85% Dark Bars,13-06-2025,"$8,392",176,"8,392"
Kaine Padly,USA,Milk Bars,13-06-2025,"$9,147",105,"9,147"
Karlen McCaffrey,New Zealand,Mint Chip Choco,13-06-2025,"$1,479",67,"1,479"
Kelci Walkden,USA,Spicy Special Slims,14-06-2025,$77.00,69,77
Ches Bonnell,UK,Orange Choco,14-06-2025,"$4,458",336,"4,458"
Madelene Upcott,Australia,Mint Chip Choco,14-06-2025,"$1,558",225,"1,558"
Oby Sorrel,India,Spicy Special Slims,14-06-2025,"$4,873",162,"4,873"
Karlen McCaffrey,Canada,50% Dark Bites,14-06-2025,"$6,955",291,"6,955"
Wilone O'Kielt,New Zealand,85% Dark Bars,14-06-2025,"$3,592",227,"3,592"
Mallorie Waber,Canada,Orange Choco,15-06-2025,"$3,577.00",178,"3,577.00"
Brien Boise,Australia,Fruit & Nut Bars,15-06-2025,"$1,205",31,"1,205"
Jehu Rudeforth,Australia,Orange Choco,15-06-2025,"$6,206",259,"6,206"
Kaine Padly,Australia,Manuka Honey Choco,15-06-2025,"$2,915",48,"2,915"
Oby Sorrel,UK,Choco Coated Almonds,15-06-2025,"$6,829",24,"6,829"
Marney O'Breen,India,85% Dark Bars,16-06-2025,"$2,205.00",179,"2,205.00"
Camilla Castle,New Zealand,85% Dark Bars,16-06-2025,"$15,372.54",57,"15,372.54"
Madelene Upcott,India,Organic Choco Syrup,16-06-2025,"$5,401.01",41,"5,401.01"
Karlen McCaffrey,New Zealand,70% Dark Bites,16-06-2025,$150.42,40,150.42
Dennison Crosswaite,India,Orange Choco,16-06-2025,"$1,202",220,"1,202"
Marney O'Breen,India,99% Dark & Pure,16-06-2025,"$1,946",345,"1,946"
Camilla Castle,UK,Peanut Butter Cubes,16-06-2025,"$9,841",61,"9,841"
Madelene Upcott,UK,70% Dark Bites,16-06-2025,"$7,949",287,"7,949"
Andria Kimpton,USA,Caramel Stuffed Bars,17-06-2025,"$8,836.90",48,"8,836.90"
Mallorie Waber,Australia,Choco Coated Almonds,17-06-2025,"$18,473.63",88,"18,473.63"
Madelene Upcott,New Zealand,Caramel Stuffed Bars,17-06-2025,"$1,543",25,"1,543"
Rafaelita Blaksland,USA,Fruit & Nut Bars,17-06-2025,"$4,561",193,"4,561"
Madelene Upcott,New Zealand,Caramel Stuffed Bars,17-06-2025,"$3,323",218,"3,323"
Camilla Castle,New Zealand,Raspberry Choco,18-06-2025,"$4,746.00",137,"4,746.00"
Marney O'Breen,Canada,Choco Coated Almonds,18-06-2025,"$2,790.72",435,"2,790.72"
Kelci Walkden,India,After Nines,18-06-2025,"$1,855.03",563,"1,855.03"
Roddy Speechley,USA,50% Dark Bites,18-06-2025,"$2,732",126,"2,732"
Karlen McCaffrey,New Zealand,Eclairs,18-06-2025,"$1,849",38,"1,849"
Jan Morforth,New Zealand,Orange Choco,19-06-2025,"$1,225.00",84,"1,225.00"
Oby Sorrel,USA,Smooth Sliky Salty,19-06-2025,"$3,632.32",169,"3,632.32"
Madelene Upcott,USA,Orange Choco,19-06-2025,$386,195,386
Kelci Walkden,USA,After Nines,19-06-2025,"$2,657",220,"2,657"
Kaine Padly,Australia,70% Dark Bites,19-06-2025,"$4,807",22,"4,807"
Marney O'Breen,USA,99% Dark & Pure,20-06-2025,"$4,151.00",296,"4,151.00"
Gunar Cockshoot,UK,Eclairs,20-06-2025,"$3,619.00",164,"3,619.00"
Ches Bonnell,UK,Orange Choco,20-06-2025,"$8,178",32,"8,178"
Rafaelita Blaksland,New Zealand,After Nines,20-06-2025,"$9,160",339,"9,160"
Brien Boise,USA,70% Dark Bites,21-06-2025,"$1,694.00",21,"1,694.00"
Mallorie Waber,USA,Peanut Butter Cubes,21-06-2025,"$1,162.00",18,"1,162.00"
Marney O'Breen,USA,99% Dark & Pure,21-06-2025,"$4,646.91",317,"4,646.91"
Oby Sorrel,India,Smooth Sliky Salty,21-06-2025,$751,137,751
Dotty Strutley,USA,Manuka Honey Choco,22-06-2025,"$1,803",196,"1,803"
Marney O'Breen,UK,Orange Choco,23-06-2025,"$13,072.74",11,"13,072.74"
Kaine Padly,Australia,Fruit & Nut Bars,23-06-2025,"$8,097",219,"8,097"
Gunar Cockshoot,Canada,Spicy Special Slims,23-06-2025,"$4,545",37,"4,545"
Marney O'Breen,UK,Drinking Coco,24-06-2025,$973.00,28,973
Ches Bonnell,Canada,Spicy Special Slims,24-06-2025,"$5,327.00",183,"5,327.00"
Brien Boise,UK,Caramel Stuffed Bars,24-06-2025,"$3,106.11",159,"3,106.11"
Beverie Moffet,Australia,Baker's Choco Chips,24-06-2025,"$3,360.74",119,"3,360.74"
Ches Bonnell,India,Spicy Special Slims,24-06-2025,"$5,816",154,"5,816"
Andria Kimpton,UK,Caramel Stuffed Bars,24-06-2025,"$6,734",105,"6,734"
Dennison Crosswaite,India,Mint Chip Choco,25-06-2025,"$13,573.00",138,"13,573.00"
Gigi Bohling,UK,85% Dark Bars,25-06-2025,"$12,362.00",94,"12,362.00"
Roddy Speechley,Canada,Smooth Sliky Salty,25-06-2025,"$10,712.76",11,"10,712.76"
Van Tuxwell,New Zealand,Baker's Choco Chips,25-06-2025,"$7,984",257,"7,984"
Roddy Speechley,Canada,Milk Bars,25-06-2025,"$1,656",215,"1,656"
Brien Boise,UK,Drinking Coco,26-06-2025,"$5,754.00",133,"5,754.00"
Husein Augar,Australia,Orange Choco,26-06-2025,"$9,332.76",196,"9,332.76"
Andria Kimpton,India,50% Dark Bites,26-06-2025,"$7,823",128,"7,823"
Brien Boise,USA,99% Dark & Pure,26-06-2025,"$8,026",76,"8,026"
Curtice Advani,New Zealand,50% Dark Bites,27-06-2025,"$10,791.46",88,"10,791.46"
Husein Augar,India,70% Dark Bites,27-06-2025,"$6,505",123,"6,505"
Barr Faughny,India,Mint Chip Choco,27-06-2025,"$1,411",7,"1,411"
Mallorie Waber,India,50% Dark Bites,27-06-2025,"$8,240",392,"8,240"
Dennison Crosswaite,Australia,85% Dark Bars,28-06-2025,"$7,807.02",419,"7,807.02"
Jehu Rudeforth,India,Almond Choco,28-06-2025,"$1,882",37,"1,882"
Marney O'Breen,Australia,Baker's Choco Chips,28-06-2025,"$4,623",362,"4,623"
Gigi Bohling,UK,50% Dark Bites,29-06-2025,"$8,197.00",69,"8,197.00"
Curtice Advani,Australia,Milk Bars,29-06-2025,"$8,645",361,"8,645"
Jan Morforth,New Zealand,Orange Choco,29-06-2025,$818,316,818
Gunar Cockshoot,New Zealand,Choco Coated Almonds,30-06-2025,"$13,062.00",62,"13,062.00"
Camilla Castle,USA,Manuka Honey Choco,30-06-2025,"$16,792.23",184,"16,792.23"
Rafaelita Blaksland,Canada,99% Dark & Pure,30-06-2025,$252,277,252
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,30-06-2025,"$2,057",382,"2,057"
Brien Boise,USA,Milk Bars,30-06-2025,"$1,527",180,"1,527"
Karlen McCaffrey,New Zealand,70% Dark Bites,30-06-2025,$415,192,415
Jehu Rudeforth,UK,White Choc,30-06-2025,"$2,224",159,"2,224"
Gunar Cockshoot,India,Caramel Stuffed Bars,01-07-2025,"$2,471.00",202,"2,471.00"
Dennison Crosswaite,New Zealand,Organic Choco Syrup,01-07-2025,$420.30,224,420.3
Kaine Padly,USA,Eclairs,01-07-2025,"$7,799.51",10,"7,799.51"
Jehu Rudeforth,Australia,Drinking Coco,01-07-2025,"$3,114.84",65,"3,114.84"
Marney O'Breen,USA,99% Dark & Pure,01-07-2025,"$9,352",199,"9,352"
Jehu Rudeforth,Australia,99% Dark & Pure,01-07-2025,"$8,261",316,"8,261"
Jehu Rudeforth,Australia,99% Dark & Pure,02-07-2025,"$10,486.00",198,"10,486.00"
Roddy Speechley,USA,Drinking Coco,02-07-2025,"$3,389.00",160,"3,389.00"
Madelene Upcott,Australia,Organic Choco Syrup,02-07-2025,"$4,822",335,"4,822"
Marney O'Breen,USA,Peanut Butter Cubes,02-07-2025,"$9,241",96,"9,241"
Barr Faughny,New Zealand,99% Dark & Pure,03-07-2025,"$8,134.00",195,"8,134.00"
Curtice Advani,Canada,Spicy Special Slims,03-07-2025,$854.00,118,854
Wilone O'Kielt,New Zealand,85% Dark Bars,03-07-2025,"$1,827.00",117,"1,827.00"
Husein Augar,Canada,Choco Coated Almonds,03-07-2025,"$3,381.00",408,"3,381.00"
Gigi Bohling,USA,50% Dark Bites,03-07-2025,$259,320,259
Gigi Bohling,USA,Fruit & Nut Bars,03-07-2025,"$5,925",379,"5,925"
Beverie Moffet,UK,Smooth Sliky Salty,04-07-2025,"$6,965",353,"6,965"
Andria Kimpton,India,After Nines,05-07-2025,$952.00,68,952
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,05-07-2025,"$5,334.00",227,"5,334.00"
Wilone O'Kielt,Australia,Fruit & Nut Bars,05-07-2025,$392.00,102,392
Barr Faughny,New Zealand,After Nines,05-07-2025,"$11,460.08",81,"11,460.08"
Marney O'Breen,India,85% Dark Bars,05-07-2025,"$4,598",130,"4,598"
Van Tuxwell,India,Spicy Special Slims,05-07-2025,"$6,466",22,"6,466"
Andria Kimpton,India,Organic Choco Syrup,05-07-2025,"$3,898",89,"3,898"
Van Tuxwell,India,Almond Choco,05-07-2025,$633,17,633
Curtice Advani,USA,Drinking Coco,05-07-2025,"$2,143",101,"2,143"
Madelene Upcott,Australia,50% Dark Bites,06-07-2025,"$7,350.00",6,"7,350.00"
Marney O'Breen,Australia,Milk Bars,06-07-2025,"$2,464.00",387,"2,464.00"
Curtice Advani,Australia,99% Dark & Pure,06-07-2025,"$5,363.69",87,"5,363.69"
Rafaelita Blaksland,India,Mint Chip Choco,06-07-2025,"$16,520.75",84,"16,520.75"
Dennison Crosswaite,UK,99% Dark & Pure,06-07-2025,"$8,854",111,"8,854"
Jehu Rudeforth,Canada,Drinking Coco,06-07-2025,"$5,773",25,"5,773"
Kaine Padly,India,Spicy Special Slims,06-07-2025,"$3,542",395,"3,542"
Husein Augar,India,Orange Choco,07-07-2025,"$4,361.00",40,"4,361.00"
Wilone O'Kielt,India,Eclairs,07-07-2025,"$3,894.68",80,"3,894.68"
Jehu Rudeforth,New Zealand,85% Dark Bars,07-07-2025,"$7,797.24",88,"7,797.24"
Ches Bonnell,New Zealand,After Nines,07-07-2025,"$5,813.44",356,"5,813.44"
Gunar Cockshoot,UK,Choco Coated Almonds,07-07-2025,"$6,635.15",141,"6,635.15"
Rafaelita Blaksland,Australia,Drinking Coco,07-07-2025,"$9,752",315,"9,752"
Ches Bonnell,New Zealand,Eclairs,07-07-2025,"$3,081",264,"3,081"
Wilone O'Kielt,Australia,Smooth Sliky Salty,07-07-2025,"$5,455",176,"5,455"
Dennison Crosswaite,UK,99% Dark & Pure,08-07-2025,"$13,205.42",26,"13,205.42"
Oby Sorrel,India,85% Dark Bars,08-07-2025,"$9,072.46",142,"9,072.46"
Curtice Advani,New Zealand,After Nines,08-07-2025,"$3,594",81,"3,594"
Andria Kimpton,UK,99% Dark & Pure,08-07-2025,"$3,688",235,"3,688"
Oby Sorrel,UK,Raspberry Choco,08-07-2025,"$3,303",267,"3,303"
Karlen McCaffrey,USA,Orange Choco,08-07-2025,"$3,484",315,"3,484"
Ches Bonnell,USA,Organic Choco Syrup,08-07-2025,"$6,218",166,"6,218"
Kaine Padly,Australia,Peanut Butter Cubes,09-07-2025,$285,37,285
Beverie Moffet,New Zealand,Spicy Special Slims,09-07-2025,"$7,822",248,"7,822"
Gigi Bohling,UK,Milk Bars,10-07-2025,"$1,406.91",231,"1,406.91"
Van Tuxwell,Canada,White Choc,10-07-2025,$468.09,3,468.09
Karlen McCaffrey,Canada,Organic Choco Syrup,10-07-2025,"$2,769.94",302,"2,769.94"
Brien Boise,Canada,85% Dark Bars,11-07-2025,$687,93,687
Ches Bonnell,Australia,White Choc,12-07-2025,"$1,043.00",202,"1,043.00"
Dennison Crosswaite,USA,Baker's Choco Chips,12-07-2025,"$17,465.00",271,"17,465.00"
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,12-07-2025,"$5,487.30",219,"5,487.30"
Marney O'Breen,USA,Raspberry Choco,12-07-2025,"$6,873.56",152,"6,873.56"
Jan Morforth,UK,Organic Choco Syrup,12-07-2025,"$6,318",15,"6,318"
Van Tuxwell,Canada,70% Dark Bites,13-07-2025,"$4,131",187,"4,131"
Madelene Upcott,Canada,Peanut Butter Cubes,14-07-2025,"$15,276.46",121,"15,276.46"
Andria Kimpton,India,Spicy Special Slims,14-07-2025,"$3,764",357,"3,764"
Van Tuxwell,USA,50% Dark Bites,14-07-2025,$777,102,777
Oby Sorrel,UK,Smooth Sliky Salty,14-07-2025,$265,303,265
Beverie Moffet,Canada,Baker's Choco Chips,15-07-2025,"$14,625.75",90,"14,625.75"
Oby Sorrel,New Zealand,Smooth Sliky Salty,15-07-2025,"$9,545.03",64,"9,545.03"
Barr Faughny,USA,Caramel Stuffed Bars,15-07-2025,"$3,917.13",287,"3,917.13"
Marney O'Breen,India,99% Dark & Pure,15-07-2025,"$12,398.37",161,"12,398.37"
Barr Faughny,Canada,Organic Choco Syrup,16-07-2025,"$1,141.00",205,"1,141.00"
Barr Faughny,USA,50% Dark Bites,16-07-2025,"$1,611",218,"1,611"
Jan Morforth,UK,Baker's Choco Chips,16-07-2025,"$7,367",14,"7,367"
Dennison Crosswaite,UK,99% Dark & Pure,16-07-2025,"$1,156",386,"1,156"
Gunar Cockshoot,USA,Fruit & Nut Bars,17-07-2025,"$5,852.00",93,"5,852.00"
Brien Boise,USA,Organic Choco Syrup,17-07-2025,"$16,233.00",138,"16,233.00"
Marney O'Breen,UK,Baker's Choco Chips,17-07-2025,$254.16,161,254.16
Mallorie Waber,Canada,Orange Choco,17-07-2025,"$4,173.73",175,"4,173.73"
Gunar Cockshoot,UK,50% Dark Bites,17-07-2025,"$7,816",249,"7,816"
Ches Bonnell,USA,Milk Bars,18-07-2025,"$2,408.00",157,"2,408.00"
Van Tuxwell,India,Smooth Sliky Salty,18-07-2025,"$5,768.75",37,"5,768.75"
Van Tuxwell,USA,After Nines,18-07-2025,$722.25,255,722.25
Kaine Padly,Canada,Organic Choco Syrup,18-07-2025,"$7,527",8,"7,527"
Kaine Padly,Australia,Milk Bars,18-07-2025,"$8,758",389,"8,758"
Dennison Crosswaite,Australia,Baker's Choco Chips,18-07-2025,"$7,120",59,"7,120"
Dotty Strutley,USA,Manuka Honey Choco,19-07-2025,"$7,958",31,"7,958"
Brien Boise,India,Eclairs,19-07-2025,"$9,709",3,"9,709"
Ches Bonnell,Australia,Caramel Stuffed Bars,20-07-2025,"$10,033.52",163,"10,033.52"
Curtice Advani,Canada,99% Dark & Pure,20-07-2025,"$13,232.74",7,"13,232.74"
Dotty Strutley,USA,Raspberry Choco,20-07-2025,"$9,551",116,"9,551"
Kelci Walkden,USA,Drinking Coco,20-07-2025,"$4,608",7,"4,608"
Ches Bonnell,Canada,Smooth Sliky Salty,20-07-2025,"$5,390",59,"5,390"
Rafaelita Blaksland,India,Mint Chip Choco,21-07-2025,"$15,491.00",85,"15,491.00"
Andria Kimpton,Australia,Baker's Choco Chips,21-07-2025,$350.27,117,350.27
Kaine Padly,UK,Caramel Stuffed Bars,21-07-2025,"$9,584",328,"9,584"
Husein Augar,UK,Choco Coated Almonds,23-07-2025,"$4,333.00",43,"4,333.00"
Beverie Moffet,Canada,Milk Bars,23-07-2025,"$4,799",308,"4,799"
Husein Augar,New Zealand,After Nines,24-07-2025,"$6,878.47",7,"6,878.47"
Marney O'Breen,USA,Almond Choco,24-07-2025,"$7,745",77,"7,745"
Gigi Bohling,Australia,Caramel Stuffed Bars,24-07-2025,"$8,900",228,"8,900"
Roddy Speechley,India,Drinking Coco,25-07-2025,"$4,494.00",11,"4,494.00"
Barr Faughny,USA,White Choc,25-07-2025,"$7,900.52",175,"7,900.52"
Beverie Moffet,UK,Almond Choco,25-07-2025,"$2,628.33",101,"2,628.33"
Kelci Walkden,UK,Fruit & Nut Bars,25-07-2025,"$1,627",342,"1,627"
Jan Morforth,India,99% Dark & Pure,25-07-2025,"$1,465",302,"1,465"
Kelci Walkden,India,Smooth Sliky Salty,25-07-2025,"$2,586",372,"2,586"
Beverie Moffet,New Zealand,Drinking Coco,26-07-2025,"$1,269.56",497,"1,269.56"
Barr Faughny,New Zealand,Eclairs,26-07-2025,"$9,230",43,"9,230"
Marney O'Breen,New Zealand,After Nines,26-07-2025,"$8,012",119,"8,012"
Curtice Advani,India,Milk Bars,26-07-2025,"$9,104",101,"9,104"
Wilone O'Kielt,India,Caramel Stuffed Bars,26-07-2025,"$1,714",255,"1,714"
Ches Bonnell,New Zealand,Spicy Special Slims,27-07-2025,"$3,556.00",18,"3,556.00"
Karlen McCaffrey,New Zealand,Drinking Coco,27-07-2025,$171.49,163,171.49
Karlen McCaffrey,USA,Mint Chip Choco,27-07-2025,"$3,705",209,"3,705"
Jan Morforth,Canada,Caramel Stuffed Bars,27-07-2025,"$3,351",106,"3,351"
Kaine Padly,Australia,Fruit & Nut Bars,27-07-2025,"$3,184",23,"3,184"
Marney O'Breen,USA,50% Dark Bites,28-07-2025,"$1,114.13",106,"1,114.13"
Kelci Walkden,USA,Fruit & Nut Bars,28-07-2025,"$9,168",336,"9,168"
Ches Bonnell,USA,White Choc,28-07-2025,"$1,526",25,"1,526"
Rafaelita Blaksland,Australia,White Choc,29-07-2025,"$6,818.00",102,"6,818.00"
Marney O'Breen,UK,Caramel Stuffed Bars,29-07-2025,"$3,651.49",112,"3,651.49"
Beverie Moffet,New Zealand,Peanut Butter Cubes,29-07-2025,"$8,641",353,"8,641"
Mallorie Waber,USA,85% Dark Bars,30-07-2025,"$2,632.00",108,"2,632.00"
Gigi Bohling,Australia,Orange Choco,30-07-2025,$596.63,158,596.63
Wilone O'Kielt,USA,Choco Coated Almonds,30-07-2025,"$10,422.84",6,"10,422.84"
Beverie Moffet,USA,50% Dark Bites,30-07-2025,"$2,941.65",360,"2,941.65"
Mallorie Waber,India,50% Dark Bites,30-07-2025,"$5,439",61,"5,439"
Gunar Cockshoot,Canada,Raspberry Choco,30-07-2025,"$4,296",7,"4,296"
Oby Sorrel,New Zealand,Milk Bars,30-07-2025,"$9,925",258,"9,925"
Wilone O'Kielt,Australia,After Nines,31-07-2025,"$3,325.00",26,"3,325.00"
Curtice Advani,India,White Choc,31-07-2025,"$7,887.15",335,"7,887.15"
Gunar Cockshoot,Canada,Spicy Special Slims,31-07-2025,"$4,572",394,"4,572"
Marney O'Breen,India,After Nines,01-08-2025,"$1,161",316,"1,161"
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,02-08-2025,$640,328,640
Brien Boise,New Zealand,Manuka Honey Choco,02-08-2025,"$9,546",148,"9,546"
Oby Sorrel,UK,White Choc,03-08-2025,"$1,715.00",286,"1,715.00"
Beverie Moffet,USA,Raspberry Choco,04-08-2025,"$16,223.83",87,"16,223.83"
Camilla Castle,Australia,70% Dark Bites,04-08-2025,"$6,999.62",500,"6,999.62"
Kelci Walkden,India,Almond Choco,04-08-2025,"$5,872",390,"5,872"
Madelene Upcott,Canada,85% Dark Bars,04-08-2025,"$9,566",280,"9,566"
Ches Bonnell,India,Caramel Stuffed Bars,04-08-2025,"$4,637",272,"4,637"
Beverie Moffet,India,Drinking Coco,04-08-2025,$724,332,724
